STCOFIPS,TOT_POP,MALE_POP,FEMALE_POP,UNDER_5_POP,5_9_POP,10_14_POP,15_19_POP,20_24_POP,25_34_POP,35_44_POP,45_54_POP,55_59_POP,60_64_POP,65_74_POP,75_84_POP,85_PLUS_POP,MEDIAN_AGE,WHITE_POP,BLACK_POP,NATIVE_POP,ASIAN_POP,OTHER_RACE_POP,HISPANIC_LATINO_POP,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,OWNER_OCCUPIED_HOUSING_UNITS,RENTER_OCCUPIED_HOUSING_UNITS
48401,52755,28432,24323,2917,3186,3635,3506,3410,6734,7348,6312,3211,3608,5325,2296,1267,38.8,36902,8205,29,211,1005,52755,21188,17792,14084,3708
48403,9980,4989,4991,459,366,616,501,427,966,819,1039,829,961,1649,1050,298,54.1,8709,498,85,165,108,9980,7634,4471,3793,678
48405,7920,3828,4092,287,366,589,538,293,657,778,1066,557,557,1294,683,255,48.6,5625,1763,71,3,389,7920,4791,3051,2212,839
48407,27666,13794,13872,1344,1969,1514,1728,1547,2790,2757,3431,2259,2285,3708,1774,560,45.3,21088,2574,152,40,848,27666,14041,10064,8354,1710
48409,68942,35185,33757,4636,4852,5486,4927,4401,8991,9312,7991,4080,3882,6135,3165,1084,36,49487,1074,233,654,3440,68942,29551,23920,16229,7691
48411,5779,3086,2693,244,395,255,395,374,702,803,562,258,481,754,378,178,41.9,4783,95,3,10,306,5779,2855,2014,1532,482
48413,2474,1181,1293,209,160,122,201,127,232,360,244,66,119,389,158,87,39.4,1413,40,1,0,802,2474,1296,899,757,142
48415,16883,9084,7799,1063,1128,1386,1350,926,2476,2249,1774,1088,913,1461,809,260,36.2,12531,615,136,104,1963,16883,6908,5693,4603,1090
48417,3134,1583,1551,143,209,213,278,143,335,320,352,277,247,355,184,78,42.9,2847,21,7,6,100,3134,1583,1324,1073,251
48419,24157,12094,12063,1661,1374,2162,1666,1398,2799,2692,3008,1428,1662,2673,1252,382,39.7,16631,3908,291,109,1500,24157,11500,8988,6756,2232
48421,2414,1188,1226,141,145,154,212,183,232,294,227,199,233,204,145,45,38.4,1858,4,0,25,185,2414,1115,803,614,189
48423,234667,113874,120793,15074,16063,15955,16721,16163,31552,28640,26701,14395,13600,22915,11854,5034,37.2,167190,40003,881,3911,5960,234667,97561,81286,55863,25423
48425,9337,4573,4764,363,315,805,686,608,798,1403,1219,574,845,1011,398,312,43.1,7622,182,28,50,446,9337,3933,3345,2749,596
48427,65716,32196,33520,6083,5761,6191,5668,5517,8797,7548,7163,2686,2758,4356,1921,1267,28.6,37809,80,45,34,4843,65716,22828,18634,13528,5106
48429,9260,4997,4263,538,526,636,517,693,1097,1367,806,531,731,1039,583,196,40.9,7656,264,72,93,354,9260,4677,3405,2677,728
48431,1392,737,655,126,191,145,75,35,222,97,137,108,73,95,64,24,32.1,1049,2,2,3,169,1392,521,392,337,55
48433,1331,681,650,141,38,91,158,134,122,95,112,58,112,138,70,62,33.5,1175,6,33,0,74,1331,706,450,374,76
48435,3345,1651,1694,183,507,344,207,129,494,503,261,227,48,296,77,69,31.3,1590,5,28,0,1558,3345,1641,1068,681,387
48437,6989,3848,3141,412,445,648,319,636,957,774,743,556,291,730,267,211,35.9,5145,568,16,78,260,6989,3042,2401,1648,753
48439,2113854,1041366,1072488,138410,148582,161267,155565,144861,311965,293972,268626,127385,115395,153613,68560,25653,34.9,1178474,364924,11409,122753,179652,2113854,812186,754969,450549,304420
