county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Rolette County,North Dakota,40.072146341268734,2,0.44694687790658394,0.4246575342465754,0.8401981963463814,0.2218751574896248,0.6634682644770905,0.46610226306150704,5043.95692365782,4224.369674897949,779.7789241268788,39.808324632992175,0,11924,4588,59517,1980,3,1,2,0
Sargent County,North Dakota,29.937028645918716,1,0.3930105934268214,0.4931506849315068,0.6129495330378417,0.29725054491530145,0.5724429881775573,0.37524295659203977,2052.013386064787,1742.1915605352488,238.8668837766557,70.95494175288225,0,3804,1996,77946,1975,5,1,3,0
Sheridan County,North Dakota,23.658017379155176,1,0.3366905459730253,0.6027397260273972,0.6583551925274418,0.23377205653817829,0.6453598162070429,0.2900660515566891,779.4243957806776,668.1891499664534,107.32248897303343,3.912756841190767,0,1303,838,62639,1967,4,1,3,0
Sioux County,North Dakota,26.299159797188455,1,0.34040346506827207,0.36986301369863017,0.606856249456001,0.15982156475487239,0.7323549355414165,0.3738937302182951,640.8145569231853,551.506933014251,88.64039123531538,0.6672326736188985,0,3740,1280,42083,1984,2,1,1,0
Slope County,North Dakota,20.34312153342012,1,0.33801765369097864,0.6849315068493151,0.6259721941043185,0.2768120082737886,0.5503430638256115,0.24785420307360911,734.4089899728011,571.1870730505319,133.19603719659816,30.02587972567095,0,766,456,71250,1961,4,1,3,0
Stark County,North Dakota,48.32187192197639,4,0.5251357094412352,0.34246575342465757,0.6367658093216638,0.34527893688235467,0.607052389673495,0.5477898562766084,10309.945068534184,7639.703249282524,2618.919782314738,51.3220369369225,0,33302,15514,84449,1986,3,1,1,0
Steele County,North Dakota,25.723382927417937,1,0.3181031991807722,0.589041095890411,0.644262690085505,0.2878218910061243,0.6590150205894618,0.31592616586468597,417.87370809636127,367.9454685542078,45.39742498563427,4.530814556519173,0,1804,1119,77500,1968,4,1,1,1
Stutsman County,North Dakota,43.89399650782873,3,0.48058623622293845,0.5205479452054795,0.7054573625954579,0.25520355818588225,0.6167367711322872,0.5131686944777217,8542.11825831705,7330.841917304666,864.5807940744997,346.69554693788285,0,21549,10413,61856,1973,4,1,2,0
Towner County,North Dakota,29.32666844356974,1,0.34165926121489065,0.5753424657534247,0.8481412013113606,0.25532082425069613,0.6857867948584979,0.3272054057567622,734.1107960582225,640.11358661368,83.53267431401117,10.46453513053139,0,2079,1255,67350,1969,3,1,1,0
Traill County,North Dakota,38.95353674061504,2,0.43697330281964475,0.6438356164383562,0.643403529364678,0.3363311791099288,0.5860493910021467,0.4340617177331356,6192.065330254974,5468.402110071371,664.5406537959769,59.097737471832765,0.02482891579328098,7970,3664,87004,1964,6,2,2,1
Walsh County,North Dakota,40.86919314894587,2,0.41416108312721545,0.547945205479452,0.8161495850084239,0.26997135255611443,0.6978431777046828,0.45519586860794625,2408.3649389344723,2133.7232430607805,235.65412009796228,38.98757577572946,0,10396,5184,71944,1971,3,1,1,1
Ward County,North Dakota,49.05898842228946,4,0.5825174971080644,0.36986301369863017,0.6711904640572057,0.32365050004986173,0.40353636982045393,0.6057009299303553,52392.269273322934,42184.55150707847,6515.423006233756,3692.074613453018,0.22014655769004343,68973,32487,78238,1984,8,3,4,0
Wells County,North Dakota,32.43367061542465,1,0.38963573075517743,0.6438356164383562,0.668748084319752,0.24627112646435373,0.6460163825684718,0.37702067391925087,1945.330775497788,1686.1123447602945,238.06768505067276,21.150745686820567,0,3890,2209,66114,1964,4,1,2,0
Williams County,North Dakota,43.65494803086072,3,0.5685155078389107,0.136986301369863,0.7432263836362001,0.3522688939975987,0.35401456141679866,0.5614761596331888,15445.9846689251,9960.191009903781,2318.121885307656,3167.671773713664,0,39555,20376,85595,2001,6,1,4,0
Adams County,Ohio,42.82211086025143,3,0.49681924225371166,0.410958904109589,0.446270017830695,0.20611803007095286,0.679381016659486,0.5326796601352072,15379.421540176405,13736.137550416399,1574.3977879381919,68.88620182181234,0,27540,12733,50264,1981,4,2,2,0
Allen County,Ohio,55.696369054175456,4,0.5602770525110599,0.6164383561643836,0.6034033673637469,0.25185482364093975,0.6335519489826252,0.6363108276784746,37288.787377549066,33040.88188985989,4071.5962855025555,176.30920218662416,0,101348,44791,64038,1966,5,1,4,0
Ashland County,Ohio,50.03630889176684,4,0.532840417500157,0.5753424657534247,0.5750645928572831,0.2763365249878156,0.5924434524666146,0.5836243650604795,26942.301471239996,23757.231212328792,3084.000744840729,101.0695140704748,0,52256,22568,69860,1969,6,2,4,0
Ashtabula County,Ohio,59.69078084707631,5,0.5643780460103746,0.6712328767123288,0.6611646831034511,0.229605815591874,0.7579385133977865,0.6329599550092514,42039.81240252835,37392.45774817235,4591.100430302843,55.799940856265856,0.4542831968878419,97167,46477,57728,1962,2,2,0,0
Athens County,Ohio,49.496525735788424,4,0.5381202921315398,0.4657534246575342,0.48304611872785785,0.23014778023073618,0.649677370740406,0.5968856001809273,24366.05389482375,21030.89593918932,3201.1865290281808,133.97142660625235,0,61737,26471,56001,1977,4,1,2,1
Auglaize County,Ohio,46.41999499553953,3,0.5439672040506157,0.5616438356164384,0.5583734472588492,0.3061194607452547,0.44259438004972007,0.5736981054075819,42740.75531986345,37871.67138966878,4705.703483032482,163.19858314670813,0.18186401548056677,46125,20056,78660,1970,10,2,3,5
Belmont County,Ohio,52.70202794314749,4,0.5427324877709497,0.6301369863013699,0.45341296994230107,0.2261326891876814,0.7034824048271062,0.6015588062069288,27346.236624589896,24027.869808552936,3191.1274730680598,127.23934296889567,0,65473,31522,57017,1965,3,1,1,1
Brown County,Ohio,46.58549004234124,3,0.5193904718783855,0.3972602739726028,0.4608249194424695,0.2832921288146224,0.6157984224176178,0.5696660016603531,23437.72029995811,21172.393762078766,2203.6610237811155,61.48810237789913,0.177411720326949,43845,19565,71270,1982,6,2,2,2
Butler County,Ohio,67.45545260625605,5,0.6386487229245674,0.4383561643835616,0.5133170915541319,0.33260994450767295,0.6854514609685604,0.7440806090727965,164061.31891548945,147207.40974798775,16325.456927635152,527.0433559508374,1.4088839156983757,392876,155372,81590,1979,4,2,1,1
Carroll County,Ohio,46.10394016346499,3,0.500858144970716,0.5068493150684932,0.5539533918343247,0.25884336499841837,0.671866657447725,0.5300937222079133,15709.856576530492,13897.552439903131,1751.0413700159477,61.26276661141395,0,26659,13390,64835,1974,4,2,2,0
